ROCO_ID,PMC_ID,Keywords,Caption,keyword_label,matched_keywords,split,sample_id,caption,keywords,label,image_path,image_exists,caption_len,pair_id
ROCO_10871,PMC3747430_CRIM.VASMED2013-382485.002.jpg,"angiography,pseudoaneurysm,additional,stenosi,residual,proximal", Additional angiography; residual stenosis is seen proximal to the pseudoaneurysm.,angiography,angiography,train,ROCO_10871,Additional angiography; residual stenosis is seen proximal to the pseudoaneurysm.,"angiography,pseudoaneurysm,additional,stenosi,residual,proximal",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3747430_CRIM.VASMED2013-382485.002.jpg,True,81,train_005051
ROCO_02941,PMC3649300_jscr-2011-9-5fig1.jpg,"scan,magnetic,sublingual,gland,enlarged,resonance", Magnetic resonance imaging scan showing enlarged left sublingual gland.,mri,"magnetic,resonance,magnetic resonance",train,ROCO_02941,Magnetic resonance imaging scan showing enlarged left sublingual gland.,"scan,magnetic,sublingual,gland,enlarged,resonance",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3649300_jscr-2011-9-5fig1.jpg,True,71,train_001381
ROCO_06100,PMC3917951_jmdh-7-081Fig1.jpg,"body,lesion,cm,serou,image,pancrea,space,adenoma,ultrasound,masslike,small,cyst,multiple,microcystic,endoscopic", Endoscopic ultrasound image of a 2.26 cm serous cyst adenoma. Multiple small microcystic spaces coalesce to form a mass-like lesion in the body of the pancreas.,ultrasound,ultrasound,train,ROCO_06100,Endoscopic ultrasound image of a 2.26 cm serous cyst adenoma. Multiple small microcystic spaces coalesce to form a mass-like lesion in the body of the pancreas.,"body,lesion,cm,serou,image,pancrea,space,adenoma,ultrasound,masslike,small,cyst,multiple,microcystic,endoscopic",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC3917951_jmdh-7-081Fig1.jpg,True,160,train_002828
ROCO_11787,PMC4649727_crn-0007-0221-g02.jpg,"leptomeninge,scan,showing,sequence,t1,basal,enhancement,mri", T1 sequence of an MRI scan showing basal enhancement of the leptomeninges.,mri,mri,train,ROCO_11787,T1 sequence of an MRI scan showing basal enhancement of the leptomeninges.,"leptomeninge,scan,showing,sequence,t1,basal,enhancement,mri",mri,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4649727_crn-0007-0221-g02.jpg,True,74,train_005461
ROCO_78786,PMC4556906_JMedLife-08-278-g002.jpg,"right,subdural,compression,chronic,bleeding,hyperdense,scan,due,effect,haematoma,brain,hypo,erase,recent,aspect,mixed,circle,movement,ct"," Chronic subdural haematoma with a recent bleeding of right brain hemisphere (CT scan); what should be noted is the mixed, hypo- hyperdense aspect of the haematoma and the erase of the circle movements of the right brain hemisphere as an effect of the compression due to the haematoma",ct,ct,train,ROCO_78786,"Chronic subdural haematoma with a recent bleeding of right brain hemisphere (CT scan); what should be noted is the mixed, hypo- hyperdense aspect of the haematoma and the erase of the circle movements of the right brain hemisphere as an effect of the compression due to the haematoma","right,subdural,compression,chronic,bleeding,hyperdense,scan,due,effect,haematoma,brain,hypo,erase,recent,aspect,mixed,circle,movement,ct",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4556906_JMedLife-08-278-g002.jpg,True,283,train_036684
ROCO_31875,PMC4446482_CRIU2015-419180.001.jpg,"urinary,mas,loggia,hypoechoic,pelvic,asterisk,prostatic,large,ultrasound,arrow,catheter", Pelvic ultrasound. A large hypoechoic mass (asterisk) is seen in the prostatic loggia. The arrow indicates the urinary catheter.,ultrasound,ultrasound,train,ROCO_31875,Pelvic ultrasound. A large hypoechoic mass (asterisk) is seen in the prostatic loggia. The arrow indicates the urinary catheter.,"urinary,mas,loggia,hypoechoic,pelvic,asterisk,prostatic,large,ultrasound,arrow,catheter",ultrasound,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4446482_CRIU2015-419180.001.jpg,True,128,train_014785
ROCO_29428,PMC5363334_10-1055-s-0037-1599795-i160288cr-4.jpg,"mickey,gastrostomy,stomach,cavity,balloon,peritoniti,peritoneal,tomography,arrow,postmortem,girl,tube",  An 8-year-old girl died of peritonitis after malpositioning of a gastrostomy feeding tube into the peritoneal cavity. The postmortem computed tomography demonstrates the balloon of the MIC-KEY just outside the stomach (arrow).,ct,"tomography,computed tomography",train,ROCO_29428,An 8-year-old girl died of peritonitis after malpositioning of a gastrostomy feeding tube into the peritoneal cavity. The postmortem computed tomography demonstrates the balloon of the MIC-KEY just outside the stomach (arrow).,"mickey,gastrostomy,stomach,cavity,balloon,peritoniti,peritoneal,tomography,arrow,postmortem,girl,tube",ct,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5363334_10-1055-s-0037-1599795-i160288cr-4.jpg,True,226,train_013665
ROCO_04457,PMC5460972_kjtcvs-50-220f3.jpg,"coronarybronchial,angiography,clip,postoperative,fistula,occlusion,lcx,coronary,circumflex,successful,surgical,artery"," Postoperative coronary angiography shows the successful occlusion of the coronary-bronchial artery fistula using surgical clips (arrow). LCX, left circumflex artery.",angiography,angiography,train,ROCO_04457,"Postoperative coronary angiography shows the successful occlusion of the coronary-bronchial artery fistula using surgical clips (arrow). LCX, left circumflex artery.","coronarybronchial,angiography,clip,postoperative,fistula,occlusion,lcx,coronary,circumflex,successful,surgical,artery",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5460972_kjtcvs-50-220f3.jpg,True,165,train_002080
ROCO_68968,PMC4197179_cmh-20-300-g002.jpg,"gastroduodenal,reveal,arrowhead,hypervascular,segment,hepatic,tare,metallic,note,arrow,artery,coil,angiogram,tumor", Right hepatic angiogram reveals a hypervascular tumor staining (arrowheads) at segment 4. Note metallic coil (arrow) for embolizing the gastroduodenal artery before TARE.,angiography,angiogram,train,ROCO_68968,Right hepatic angiogram reveals a hypervascular tumor staining (arrowheads) at segment 4. Note metallic coil (arrow) for embolizing the gastroduodenal artery before TARE.,"gastroduodenal,reveal,arrowhead,hypervascular,segment,hepatic,tare,metallic,note,arrow,artery,coil,angiogram,tumor",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC4197179_cmh-20-300-g002.jpg,True,170,train_032110
ROCO_71575,PMC5011545_PWKI-12-28126-g001.jpg,"control,angiography,telescope,mpa,implantation,stent,technique,mm,exit,vascular,multilink,rvot,stentinstent", Control exit angiography after implantation of 2 vascular stents in the RVOT and MPA following telescope stent-in-stent technique (Abbott Vascular MULTI-LINK 4 × 8 mm and 3.5 × 15 mm),angiography,angiography,train,ROCO_71575,Control exit angiography after implantation of 2 vascular stents in the RVOT and MPA following telescope stent-in-stent technique (Abbott Vascular MULTI-LINK 4 × 8 mm and 3.5 × 15 mm),"control,angiography,telescope,mpa,implantation,stent,technique,mm,exit,vascular,multilink,rvot,stentinstent",angiography,/kaggle/input/datasets/shareef0612/roco-radiology/ROCO Radiology/images/train_set/PMC5011545_PWKI-12-28126-g001.jpg,True,183,train_033334
